Year-Month,Date Interest,Days On Market
2018-01-01,1/4/2018,25.0
2018-02-01,2/1/2018,22.0
2018-03-01,3/1/2018,17.0
2018-04-01,4/5/2018,14.0
2018-05-01,5/3/2018,12.0
2018-06-01,6/7/2018,12.0
2018-07-01,7/5/2018,14.0
2018-08-01,8/2/2018,17.0
2018-09-01,9/6/2018,20.0
2018-10-01,10/4/2018,24.0
2018-11-01,11/1/2018,26.0
2018-12-01,12/6/2018,29.0
2019-01-01,1/3/2019,30.0
2019-02-01,2/14/2019,29.0
2019-03-01,3/7/2019,26.0
2019-04-01,4/4/2019,23.0
2019-05-01,5/2/2019,19.0
2019-06-01,6/6/2019,15.0
2019-07-01,7/3/2019,15.0
2019-08-01,8/1/2019,17.0
2019-09-01,9/5/2019,20.0
2019-10-01,10/3/2019,22.0
2019-11-01,11/7/2019,25.0
2019-12-01,12/5/2019,28.0
2020-01-01,1/2/2020,31.0
2020-02-01,2/6/2020,29.0
2020-03-01,3/5/2020,12.0
2020-04-01,4/2/2020,9.0
2020-05-01,5/7/2020,10.0
2020-06-01,6/4/2020,12.0
2020-07-01,7/2/2020,12.0
2020-08-01,8/6/2020,13.0
