Year-Month,Date Interest,Unemployment Rate
2016-04-01,4/28/2016,3.5
2016-05-01,5/5/2016,3.4
2016-06-01,6/2/2016,3.4
2016-07-01,7/7/2016,3.3
2016-08-01,8/4/2016,3.3
2016-09-01,9/1/2016,3.2
2016-10-01,10/6/2016,3.1
2016-11-01,11/3/2016,3.0
2016-12-01,12/1/2016,2.9
2017-01-01,1/12/2017,2.8
2017-02-01,2/2/2017,2.7
2017-03-01,3/2/2017,2.7
2017-04-01,4/6/2017,2.7
2017-05-01,5/4/2017,2.7
2017-06-01,6/1/2017,2.7
2017-07-01,7/6/2017,2.8
2017-08-01,8/3/2017,2.8
2017-09-01,9/7/2017,2.9
2017-10-01,10/5/2017,2.9
2017-11-01,11/2/2017,2.9
2017-12-01,12/21/2017,2.9
2018-01-01,1/4/2018,3.0
2018-02-01,2/1/2018,3.0
2018-03-01,3/1/2018,3.0
2018-04-01,4/5/2018,3.1
2018-05-01,5/3/2018,3.1
2018-06-01,6/7/2018,3.2
2018-07-01,7/5/2018,3.2
2018-08-01,8/2/2018,3.2
2018-09-01,9/6/2018,3.3
2018-10-01,10/4/2018,3.3
2018-11-01,11/1/2018,3.3
2018-12-01,12/6/2018,3.2
2019-01-01,1/3/2019,3.2
2019-02-01,2/14/2019,3.1
2019-03-01,3/7/2019,3.0
2019-04-01,4/4/2019,2.9
2019-05-01,5/2/2019,2.8
2019-06-01,6/6/2019,2.7
2019-07-01,7/3/2019,2.7
2019-08-01,8/1/2019,2.6
2019-09-01,9/5/2019,2.6
2019-10-01,10/3/2019,2.5
2019-11-01,11/7/2019,2.5
2019-12-01,12/5/2019,2.5
2020-01-01,1/2/2020,2.5
2020-02-01,2/6/2020,2.5
2020-03-01,3/5/2020,5.2
2020-04-01,4/2/2020,12.2
2020-05-01,5/7/2020,10.2
2020-06-01,6/4/2020,10.6
2020-07-01,7/2/2020,7.4
2020-08-01,8/6/2020,6.7
