Year-Month,Date Interest,Freddie Mac Rate
2016-04-01,4/28/2016,3.66
2016-05-01,5/5/2016,3.61
2016-06-01,6/2/2016,3.66
2016-07-01,7/7/2016,3.41
2016-08-01,8/4/2016,3.43
2016-09-01,9/1/2016,3.46
2016-10-01,10/6/2016,3.42
2016-11-01,11/3/2016,3.54
2016-12-01,12/1/2016,4.08
2017-01-01,1/12/2017,4.12
2017-02-01,2/2/2017,4.19
2017-03-01,3/2/2017,4.1
2017-04-01,4/6/2017,4.1
2017-05-01,5/4/2017,4.02
2017-06-01,6/1/2017,3.94
2017-07-01,7/6/2017,3.96
2017-08-01,8/3/2017,3.93
2017-09-01,9/7/2017,3.78
2017-10-01,10/5/2017,3.85
2017-11-01,11/2/2017,3.94
2017-12-01,12/21/2017,3.94
2018-01-01,1/4/2018,3.95
2018-02-01,2/1/2018,4.22
2018-03-01,3/1/2018,4.43
2018-04-01,4/5/2018,4.4
2018-05-01,5/3/2018,4.55
2018-06-01,6/7/2018,4.54
2018-07-01,7/5/2018,4.52
2018-08-01,8/2/2018,4.6
2018-09-01,9/6/2018,4.54
2018-10-01,10/4/2018,4.71
2018-11-01,11/1/2018,4.83
2018-12-01,12/6/2018,4.75
2019-01-01,1/3/2019,4.51
2019-02-01,2/14/2019,4.37
2019-03-01,3/7/2019,4.41
2019-04-01,4/4/2019,4.08
2019-05-01,5/2/2019,4.14
2019-06-01,6/6/2019,3.82
2019-07-01,7/3/2019,3.75
2019-08-01,8/1/2019,3.75
2019-09-01,9/5/2019,3.49
2019-10-01,10/3/2019,3.65
2019-11-01,11/7/2019,3.69
2019-12-01,12/5/2019,3.68
2020-01-01,1/2/2020,3.72
2020-02-01,2/6/2020,3.45
2020-03-01,3/5/2020,3.29
2020-04-01,4/2/2020,3.33
2020-05-01,5/7/2020,3.26
2020-06-01,6/4/2020,3.18
2020-07-01,7/2/2020,3.07
2020-08-01,8/6/2020,2.88
