Date Interest,Unemployment Rate
4/28/2016,3.5
5/5/2016,3.4
5/12/2016,3.4
5/19/2016,3.4
5/26/2016,3.4
6/2/2016,3.4
6/9/2016,3.4
6/16/2016,3.4
6/23/2016,3.4
6/30/2016,3.4
7/7/2016,3.3
7/14/2016,3.3
7/21/2016,3.3
7/28/2016,3.3
8/4/2016,3.3
8/11/2016,3.3
8/18/2016,3.3
8/24/2016,3.3
8/25/2016,3.3
9/1/2016,3.2
9/8/2016,3.2
9/15/2016,3.2
9/22/2016,3.2
9/29/2016,3.2
10/6/2016,3.1
10/13/2016,3.1
10/20/2016,3.1
10/27/2016,3.1
11/3/2016,3.0
11/10/2016,3.0
11/17/2016,3.0
11/23/2016,3.0
12/1/2016,2.9
12/8/2016,2.9
12/15/2016,2.9
12/22/2016,2.9
12/29/2016,2.9
1/12/2017,2.8
1/19/2017,2.8
1/26/2017,2.8
2/2/2017,2.7
2/9/2017,2.7
2/16/2017,2.7
2/23/2017,2.7
3/2/2017,2.7
3/9/2017,2.7
3/16/2017,2.7
3/23/2017,2.7
3/30/2017,2.7
4/6/2017,2.7
4/13/2017,2.7
4/20/2017,2.7
4/27/2017,2.7
5/4/2017,2.7
5/11/2017,2.7
5/18/2017,2.7
5/25/2017,2.7
6/1/2017,2.7
6/8/2017,2.7
6/15/2017,2.7
6/22/2017,2.7
6/29/2017,2.7
7/6/2017,2.8
7/13/2017,2.8
7/20/2017,2.8
7/27/2017,2.8
8/3/2017,2.8
8/10/2017,2.8
8/17/2017,2.8
8/24/2017,2.8
8/31/2017,2.8
9/7/2017,2.9
9/14/2017,2.9
9/21/2017,2.9
9/28/2017,2.9
10/5/2017,2.9
10/12/2017,2.9
10/19/2017,2.9
10/26/2017,2.9
11/2/2017,2.9
11/9/2017,2.9
11/16/2017,2.9
11/22/2017,2.9
11/30/2017,2.9
12/21/2017,2.9
12/28/2017,2.9
1/4/2018,3.0
1/11/2018,3.0
1/18/2018,3.0
1/25/2018,3.0
2/1/2018,3.0
2/8/2018,3.0
2/15/2018,3.0
2/22/2018,3.0
3/1/2018,3.0
3/8/2018,3.0
3/15/2018,3.0
3/22/2018,3.0
3/29/2018,3.0
4/5/2018,3.1
4/12/2018,3.1
4/19/2018,3.1
4/26/2018,3.1
5/3/2018,3.1
5/10/2018,3.1
5/17/2018,3.1
5/24/2018,3.1
5/31/2018,3.1
6/7/2018,3.2
6/14/2018,3.2
6/21/2018,3.2
6/28/2018,3.2
7/5/2018,3.2
7/12/2018,3.2
7/19/2018,3.2
7/26/2018,3.2
8/2/2018,3.2
8/9/2018,3.2
8/16/2018,3.2
8/23/2018,3.2
8/30/2018,3.2
9/6/2018,3.3
9/13/2018,3.3
9/20/2018,3.3
9/27/2018,3.3
10/4/2018,3.3
10/11/2018,3.3
10/18/2018,3.3
10/25/2018,3.3
11/1/2018,3.3
11/8/2018,3.3
11/15/2018,3.3
11/21/2018,3.3
11/29/2018,3.3
12/6/2018,3.2
12/13/2018,3.2
12/20/2018,3.2
12/27/2018,3.2
1/3/2019,3.2
1/10/2019,3.2
1/17/2019,3.2
1/24/2019,3.2
1/31/2019,3.2
2/14/2019,3.1
2/21/2019,3.1
2/28/2019,3.1
3/7/2019,3.0
3/14/2019,3.0
3/21/2019,3.0
3/28/2019,3.0
4/4/2019,2.9
4/11/2019,2.9
4/18/2019,2.9
4/25/2019,2.9
5/2/2019,2.8
5/9/2019,2.8
5/16/2019,2.8
5/23/2019,2.8
5/30/2019,2.8
6/6/2019,2.7
6/13/2019,2.7
6/20/2019,2.7
6/27/2019,2.7
7/3/2019,2.7
7/11/2019,2.7
7/18/2019,2.7
7/25/2019,2.7
8/1/2019,2.6
8/8/2019,2.6
8/15/2019,2.6
8/22/2019,2.6
8/29/2019,2.6
9/5/2019,2.6
9/12/2019,2.6
9/19/2019,2.6
9/26/2019,2.6
10/3/2019,2.5
10/10/2019,2.5
10/17/2019,2.5
10/24/2019,2.5
10/31/2019,2.5
11/7/2019,2.5
11/14/2019,2.5
11/21/2019,2.5
11/27/2019,2.5
12/5/2019,2.5
12/12/2019,2.5
12/19/2019,2.5
12/26/2019,2.5
1/2/2020,2.5
1/9/2020,2.5
1/16/2020,2.5
1/23/2020,2.5
1/30/2020,2.5
2/6/2020,2.5
2/13/2020,2.5
2/20/2020,2.5
2/27/2020,2.5
3/5/2020,5.2
3/12/2020,5.2
3/19/2020,5.2
3/26/2020,5.2
4/2/2020,12.2
4/9/2020,12.2
4/16/2020,12.2
4/23/2020,12.2
4/30/2020,12.2
5/7/2020,10.2
5/14/2020,10.2
5/21/2020,10.2
5/28/2020,10.2
6/4/2020,10.6
6/11/2020,10.6
6/18/2020,10.6
6/25/2020,10.6
7/2/2020,7.4
7/9/2020,7.4
7/16/2020,7.4
7/23/2020,7.4
7/30/2020,7.4
8/6/2020,6.7
8/13/2020,6.7
8/20/2020,6.7
8/27/2020,6.7
