Year,Month,Year-Month,Date Zillow,Date Interest,Indicator ID,Indicator Name,Region ID,Region Type,Region Name,Value,County Population,Unemployment Rate,Wells Fargo Rate,Freddie Mac Rate
2018,Jan,2018-01-01,1/31/2018,1/4/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",26.0,314169.0,3.0,4.13,3.95
2018,Feb,2018-02-01,2/28/2018,2/1/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",23.0,314169.0,3.0,4.38,4.22
2018,Mar,2018-03-01,3/31/2018,3/1/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",18.0,314169.0,3.0,4.5,4.43
2018,Apr,2018-04-01,4/30/2018,4/5/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",14.0,314169.0,3.1,4.63,4.4
2018,May,2018-05-01,5/31/2018,5/3/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",11.0,314169.0,3.1,4.75,4.55
2018,Jun,2018-06-01,6/30/2018,6/7/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",12.0,314169.0,3.2,4.75,4.54
2018,Jul,2018-07-01,7/31/2018,7/5/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",13.0,314169.0,3.2,4.63,4.52
2018,Aug,2018-08-01,8/31/2018,8/2/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",15.0,314169.0,3.2,4.75,4.6
2018,Sep,2018-09-01,9/30/2018,9/6/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",18.0,314169.0,3.3,4.63,4.54
2018,Oct,2018-10-01,10/31/2018,10/4/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",21.0,314169.0,3.3,4.88,4.71
2018,Nov,2018-11-01,11/30/2018,11/1/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",25.0,314169.0,3.3,4.88,4.83
2018,Dec,2018-12-01,12/31/2018,12/6/2018,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",30.0,314169.0,3.2,4.75,4.75
2019,Jan,2019-01-01,1/31/2019,1/3/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",33.0,323763.0,3.2,4.38,4.51
2019,Feb,2019-02-01,2/28/2019,2/14/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",33.0,323763.0,3.1,4.38,4.37
2019,Mar,2019-03-01,3/31/2019,3/7/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",31.0,323763.0,3.0,4.38,4.41
2019,Apr,2019-04-01,4/30/2019,4/4/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",27.0,323763.0,2.9,4.13,4.08
2019,May,2019-05-01,5/31/2019,5/2/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",23.0,323763.0,2.8,4.13,4.14
2019,Jun,2019-06-01,6/30/2019,6/6/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",18.0,323763.0,2.7,3.75,3.82
2019,Jul,2019-07-01,7/31/2019,7/3/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",18.0,323763.0,2.7,3.75,3.75
2019,Aug,2019-08-01,8/31/2019,8/1/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",18.0,323763.0,2.6,3.88,3.75
2019,Sep,2019-09-01,9/30/2019,9/5/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",19.0,323763.0,2.6,3.5,3.49
2019,Oct,2019-10-01,10/31/2019,10/3/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",20.0,323763.0,2.5,3.5,3.65
2019,Nov,2019-11-01,11/30/2019,11/7/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",22.0,323763.0,2.5,3.75,3.69
2019,Dec,2019-12-01,12/31/2019,12/5/2019,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",25.0,323763.0,2.5,3.75,3.68
2020,Jan,2020-01-01,1/31/2020,1/2/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",29.0,332367.0,2.5,3.75,3.72
2020,Feb,2020-02-01,2/29/2020,2/6/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",27.0,332367.0,2.5,3.5,3.45
2020,Mar,2020-03-01,3/31/2020,3/5/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",10.0,332367.0,5.2,3.5,3.29
2020,Apr,2020-04-01,4/30/2020,4/2/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",8.0,332367.0,12.2,3.5,3.33
2020,May,2020-05-01,5/31/2020,5/7/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",8.0,332367.0,10.2,3.25,3.26
2020,Jun,2020-06-01,6/30/2020,6/4/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",9.0,332367.0,10.6,3.13,3.18
2020,Jul,2020-07-01,7/31/2020,7/2/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",8.0,332367.0,7.4,3.0,3.07
2020,Aug,2020-08-01,8/31/2020,8/6/2020,NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",394645,metro,"Greeley, CO",7.0,332367.0,6.7,3.0,2.88
